Age,Income,LoanAmount,CreditScore,EmploymentYears,ExistingLoans,MonthlyDebt,LoanTerm,PreviousDefault,HomeOwnership,Default
30,1194388,644897,658,14,3,16679,12,No,Rent,0
50,1180851,476567,654,3,2,18859,48,No,Rent,0
27,531384,578211,719,9,4,18956,12,Yes,Mortgage,0
38,926928,79402,664,6,1,20953,24,No,Mortgage,0
65,353282,707290,746,11,0,21002,36,No,Mortgage,0
55,1282975,76399,718,28,2,33382,12,No,Rent,0
50,947691,357033,850,9,5,17302,36,No,Mortgage,0
35,899780,236456,492,17,4,28731,36,No,Mortgage,0
33,215136,738248,617,13,1,16984,48,No,Rent,1
50,762679,69003,730,5,0,15924,60,No,Own,0
25,585866,483889,850,8,4,30455,84,No,Mortgage,0
48,817559,165462,733,15,0,33112,36,No,Rent,0
49,702870,312349,700,16,3,23471,60,No,Mortgage,0
57,636923,596059,567,31,4,29205,24,No,Own,1
22,905632,795052,669,4,0,11957,24,Yes,Own,0
53,950336,492557,704,8,3,34810,84,No,Rent,0
27,1285085,768862,790,14,0,14719,60,No,Mortgage,0
34,768715,163487,708,11,2,32326,24,No,Mortgage,0
48,1170324,755549,669,11,4,35771,36,No,Mortgage,0
63,583286,87594,841,13,1,22478,60,No,Mortgage,0
31,491056,1066901,526,11,1,391,36,No,Rent,1
38,642339,1043242,640,5,4,19529,60,No,Own,0
44,683283,50000,592,0,3,7200,60,No,Rent,0
38,979313,693727,613,18,1,14917,36,Yes,Rent,0
29,775023,452945,685,9,2,10082,24,No,Mortgage,0
58,433108,267443,642,18,4,25852,60,No,Rent,0
34,265158,394217,503,12,0,14709,36,No,Rent,1
56,150000,1136807,588,1,0,13527,24,Yes,Rent,1
61,808598,658179,517,16,2,21162,48,No,Rent,0
41,577859,1042627,647,6,3,19716,60,No,Own,1
56,652352,884101,694,6,2,29015,60,No,Rent,0
34,461497,880136,690,4,0,3330,60,No,Own,0
33,150000,629963,742,4,5,12679,60,No,Rent,1
24,859430,348747,695,0,4,35032,84,No,Mortgage,0
34,241398,676128,676,11,2,17801,60,No,Rent,1
32,902837,935927,650,13,5,36174,84,No,Mortgage,1
50,713935,817614,640,27,0,1513,12,No,Rent,1
57,700769,780986,639,15,4,47685,60,No,Rent,0
55,270513,910345,742,21,1,6978,60,No,Mortgage,1
47,693655,374755,636,32,0,5108,24,No,Rent,0
53,199416,668310,805,22,3,20312,60,No,Rent,0
37,308861,239708,717,7,0,15880,60,Yes,Own,0
37,379429,624640,627,18,5,26809,60,No,Rent,0
56,470496,562508,785,12,0,10079,60,Yes,Rent,0
62,1026137,872998,599,25,4,41613,84,No,Rent,0
27,808561,231275,736,6,0,6674,60,No,Rent,0
40,314899,1119667,758,10,0,9863,36,No,Own,1
45,656867,630222,738,17,2,25631,24,No,Rent,0
45,1183625,630985,774,13,5,30650,36,Yes,Mortgage,0
62,316707,378776,690,11,5,39331,36,Yes,Own,1
47,1030639,435073,564,14,5,66658,36,No,Rent,0
53,433106,795320,646,21,2,26905,48,No,Own,0
61,942196,1284172,622,3,5,35539,60,No,Own,1
43,749784,99535,850,0,0,21828,60,No,Mortgage,0
37,800027,630370,736,20,2,18550,60,Yes,Rent,0
21,556263,50000,686,2,2,24241,84,No,Own,0
22,432883,394620,721,4,3,42973,60,Yes,Own,0
21,834458,732934,677,7,3,17262,60,No,Rent,0
29,524686,80393,632,15,2,15048,24,No,Mortgage,0
30,1064122,58374,815,13,2,17680,60,No,Mortgage,0
23,451779,605577,563,8,4,32031,60,Yes,Mortgage,1
28,1080505,568304,581,11,0,26982,48,Yes,Rent,1
45,1103970,50000,723,8,1,20239,36,No,Mortgage,0
35,427352,487661,503,19,2,28914,36,No,Rent,1
40,464641,144655,625,7,4,27299,36,No,Mortgage,0
45,1243695,1008766,850,25,1,0,24,No,Rent,0
24,919658,460761,712,8,5,37735,36,No,Mortgage,0
45,704379,50000,592,10,4,29023,60,Yes,Mortgage,0
52,1176327,1313532,652,22,2,36016,60,Yes,Own,0
65,204898,656698,850,17,4,26845,60,No,Mortgage,1
51,550903,924172,616,17,5,32342,24,No,Mortgage,0
47,404905,408968,754,27,1,10957,24,No,Mortgage,0
26,740461,683189,663,10,5,46185,24,Yes,Mortgage,0
55,773691,130793,659,27,2,27538,12,No,Own,0
60,966829,234142,625,0,3,31702,84,No,Mortgage,0
57,876512,1154178,766,11,3,21122,36,No,Own,0
32,925256,364767,635,14,0,22992,84,No,Mortgage,0
24,150000,304928,637,10,4,28800,12,No,Mortgage,1
41,660580,1095805,728,12,3,29243,60,No,Mortgage,0
21,1368924,283390,574,2,0,20925,84,No,Rent,0
52,582165,52764,828,7,2,23786,60,No,Own,0
59,565132,409328,718,12,1,20308,24,No,Own,0
29,1326974,632611,683,10,0,9490,60,No,Mortgage,0
31,1083058,50000,692,12,5,17470,48,No,Rent,0
50,749844,753518,558,30,4,35821,60,Yes,Own,0
35,153328,64263,822,21,4,27121,48,Yes,Mortgage,0
54,629759,588551,693,12,0,18265,36,No,Rent,0
52,953984,751895,662,21,1,18940,48,No,Rent,0
51,150000,696002,780,21,3,15873,60,No,Rent,1
42,753237,306627,437,0,2,26749,60,No,Own,1
35,1379215,516272,580,18,0,18418,36,No,Mortgage,0
50,524148,195789,643,14,0,27587,24,No,Rent,0
37,150000,575602,679,14,0,19340,84,No,Own,1
37,275738,50000,704,2,2,28872,36,No,Mortgage,0
47,1135832,776345,622,24,2,16452,36,No,Mortgage,0
61,1262431,524505,850,12,4,36456,60,No,Mortgage,0
42,1249419,675121,644,17,4,38321,36,Yes,Rent,1
60,1421509,1007090,563,30,0,5794,36,No,Rent,0
60,826296,984099,610,24,4,19913,36,No,Rent,0
63,829363,113932,648,4,2,15200,60,No,Rent,1
61,924942,1008970,747,22,1,14984,36,No,Own,0
50,620799,936947,640,5,3,26387,60,No,Rent,1
31,892971,304933,708,12,0,2111,60,No,Rent,0
33,1044264,973573,752,15,1,24874,48,No,Own,0
51,958734,716603,628,20,0,6220,60,No,Rent,0
42,257284,529858,656,22,5,25686,36,No,Rent,1
25,1224456,88260,828,9,1,31620,60,No,Rent,0
42,685139,431281,619,20,3,25145,12,No,Own,0
36,514702,388643,701,10,0,2719,36,Yes,Own,0
40,1030708,468650,613,5,2,26306,36,No,Mortgage,0
54,518646,50000,617,9,1,27172,48,No,Rent,0
49,1095932,698071,573,16,3,25048,60,Yes,Rent,1
50,746562,605780,754,13,3,30203,60,No,Rent,0
36,507347,536594,686,14,4,20691,24,No,Rent,0
37,566936,178055,673,21,5,30151,24,No,Mortgage,0
48,482039,966266,665,14,1,6638,48,No,Own,1
26,545771,50000,736,5,3,30844,48,No,Own,0
52,708862,441701,610,25,4,21229,36,No,Own,1
23,1332727,494991,698,2,0,9144,48,No,Rent,0
55,538471,55368,795,8,0,22233,48,No,Rent,0
64,299762,778042,572,5,5,28390,12,No,Rent,1
28,1238759,105186,772,1,5,40543,36,No,Rent,0
56,635218,139812,606,27,3,22462,84,No,Rent,0
49,1204484,595682,646,11,2,12047,48,No,Rent,0
24,733400,689947,562,5,2,25123,48,Yes,Mortgage,1
51,316888,695255,559,6,0,381,24,No,Rent,1
65,397200,747978,759,8,1,22305,36,No,Mortgage,1
35,569222,602628,641,5,3,9669,24,No,Rent,0
62,719324,978862,675,30,1,25504,24,No,Rent,0
23,598822,1107527,755,7,1,2914,36,No,Own,0
29,661608,833987,716,2,5,42522,60,No,Own,1
64,725827,1159375,578,24,1,38497,36,No,Own,1
31,294165,690525,769,19,2,29290,12,No,Own,1
40,1208233,55887,560,22,1,24097,36,Yes,Rent,0
21,1129206,334303,636,2,2,22163,84,No,Own,0
24,389075,660194,623,4,4,27498,24,No,Mortgage,1
33,219224,283835,675,15,2,25980,60,No,Rent,1
22,578086,216001,637,4,2,14415,48,Yes,Mortgage,1
45,319920,424292,681,28,0,0,36,No,Rent,0
41,354047,374324,797,1,2,22322,36,No,Rent,0
40,1228453,344171,617,20,5,36704,60,No,Rent,0
37,1047609,442438,627,19,1,26784,36,No,Mortgage,0
43,647334,597858,537,7,1,11372,24,No,Own,0
65,241792,689811,589,8,3,39649,24,No,Own,1
56,787302,298332,720,12,4,28820,36,No,Rent,0
63,868633,73416,642,3,3,13626,60,No,Rent,0
21,707899,313555,670,2,3,37463,84,No,Mortgage,0
27,458851,740966,748,7,4,42965,12,No,Mortgage,0
59,1653481,802087,653,13,3,16070,48,No,Mortgage,1
27,557375,240006,786,12,3,32768,60,No,Own,0
48,701313,50000,829,10,5,48060,12,No,Own,1
62,1282041,546454,850,16,1,32631,60,No,Mortgage,0
21,197304,778942,690,5,0,2593,48,No,Rent,1
33,669840,786282,501,9,0,0,60,No,Rent,1
58,357472,408706,755,8,3,15504,48,No,Rent,0
60,591519,276260,649,15,2,23135,36,No,Rent,0
45,551657,50000,749,22,3,13759,24,No,Rent,0
54,640353,68194,780,6,3,26373,48,No,Mortgage,0
46,477655,854276,782,12,4,37906,60,No,Rent,1
50,943633,795882,741,16,3,31521,48,No,Own,0
54,899287,132980,605,1,1,34887,84,Yes,Own,1
62,514445,751300,647,8,5,40336,60,No,Mortgage,1
64,1296905,565039,516,25,4,40634,60,No,Mortgage,1
56,911606,470422,720,2,2,39364,84,No,Rent,0
28,1129298,752521,519,12,0,18037,48,No,Own,0
37,322974,708782,651,19,5,45383,36,No,Mortgage,1
64,431289,683657,620,7,5,39389,60,No,Mortgage,0
49,352009,154711,815,28,3,14074,60,No,Mortgage,0
25,150059,534648,650,5,5,40708,60,No,Rent,1
41,1306918,830709,682,24,5,45844,60,No,Own,0
45,165766,354226,741,20,3,15746,36,No,Mortgage,0
46,581597,678991,850,21,3,9539,36,No,Rent,0
50,570182,262320,744,7,3,16021,24,No,Mortgage,0
46,200280,413889,767,20,3,18171,36,No,Mortgage,1
30,1248387,616815,670,10,0,3993,60,No,Mortgage,0
63,150000,503760,676,9,2,17459,60,No,Rent,1
59,218065,772500,627,30,5,38136,24,No,Rent,1
56,197804,291769,617,2,5,45208,84,No,Rent,1
56,747804,730184,707,21,3,24119,36,No,Rent,0
51,530145,468562,707,25,2,6786,60,No,Own,0
28,674835,337621,787,6,0,23751,60,No,Own,0
61,1144714,573812,712,13,2,33253,48,Yes,Mortgage,0
45,356316,870720,600,1,5,52619,60,No,Rent,1
50,313562,371024,602,12,1,30122,84,No,Rent,0
25,1339323,645242,576,6,5,24431,60,No,Own,0
22,519950,1248194,693,1,4,28961,48,No,Own,1
48,1001291,104947,647,10,5,36472,84,No,Own,0
21,676537,633970,635,0,4,38343,48,Yes,Mortgage,1
30,1193564,110416,571,9,1,11473,48,Yes,Mortgage,0
38,744635,223536,624,20,5,35864,60,No,Mortgage,0
43,354903,367679,510,19,2,11392,48,No,Mortgage,0
35,728158,304821,601,0,5,25774,60,No,Mortgage,0
62,597385,595851,554,8,0,20651,36,No,Own,0
52,662535,392325,797,9,1,38988,12,No,Mortgage,0
65,753089,1092070,607,20,3,45616,36,No,Own,0
39,856222,522830,647,14,3,28040,60,No,Rent,0
37,1223176,660066,654,16,5,18941,12,No,Rent,0
24,717166,843542,692,4,1,28803,48,Yes,Rent,1
25,575771,466190,720,11,3,9474,60,No,Rent,0
51,694279,384794,785,17,4,36592,60,No,Own,0
51,372652,384958,645,12,1,24901,84,No,Rent,1
35,1087587,574240,793,15,1,4664,12,Yes,Own,0
60,613482,626137,580,5,0,21099,36,No,Own,0
58,773815,835702,539,11,0,13292,12,No,Rent,0
31,552769,214343,762,15,2,32229,60,No,Own,0
47,1011982,445937,570,14,4,57623,36,No,Rent,0
45,497533,673071,634,29,0,10415,60,No,Rent,1
55,186851,291172,739,23,1,23633,60,No,Mortgage,1
33,984208,1014863,835,9,3,18429,24,No,Rent,0
64,716824,1105039,593,25,2,48815,36,No,Own,0
40,883226,832537,509,22,3,27035,36,No,Mortgage,1
45,587317,391039,617,19,1,17224,12,No,Own,1
55,899834,665313,475,27,2,23452,36,No,Own,1
34,627389,50000,731,17,5,37683,60,No,Own,0
32,415984,1518629,638,16,5,24177,60,No,Mortgage,1
34,1035336,502918,613,8,0,17847,36,No,Own,0
51,376273,897227,574,13,2,32148,24,No,Own,0
59,853706,147973,658,25,4,34068,12,Yes,Rent,0
55,565195,50000,731,7,2,27422,48,No,Rent,0
52,1146135,341038,743,5,2,15806,12,No,Mortgage,0
51,722309,51273,653,27,2,31941,36,No,Mortgage,0
64,1011106,489701,624,16,0,12677,36,No,Mortgage,0
62,582600,668190,580,3,0,21428,36,No,Own,0
41,445932,443832,672,1,3,32695,48,No,Mortgage,1
55,559486,330642,631,13,2,31402,60,No,Rent,0
52,1330712,168495,677,30,5,19220,60,No,Rent,0
45,928145,187109,812,4,2,10828,60,No,Rent,0
29,202938,532105,722,11,5,27676,24,No,Rent,0
54,395863,824794,669,23,1,22115,48,No,Own,1
55,636417,835843,655,30,5,20948,36,No,Own,1
38,433680,407950,689,16,3,17120,60,No,Rent,1
45,421424,1203968,684,28,4,24331,48,No,Mortgage,1
22,1060485,352381,578,8,2,24589,84,No,Own,1
47,701170,520037,742,9,2,6678,36,No,Rent,0
57,701913,1378023,749,1,1,2523,36,No,Mortgage,0
59,660925,365097,656,23,3,22784,84,No,Rent,0
21,790769,495933,651,2,5,16804,48,No,Mortgage,1
33,1413825,536343,619,15,0,22105,36,No,Mortgage,0
64,1270019,972274,636,1,5,28031,60,No,Own,0
35,791156,362743,524,9,3,25524,36,No,Rent,1
36,390041,352714,776,10,1,16877,48,Yes,Rent,0
61,505422,66218,695,0,4,36812,48,No,Own,0
39,622288,278349,713,18,2,14027,60,No,Mortgage,0
56,1041130,891139,495,25,4,35885,84,No,Rent,0
57,1090189,917196,593,11,4,34941,36,No,Mortgage,1
32,358580,592311,687,14,2,17356,36,No,Own,0
59,709555,379756,730,1,5,42112,60,Yes,Rent,0
39,754021,1131963,719,19,2,30907,24,No,Rent,0
42,156761,411077,778,20,4,13627,48,No,Mortgage,0
25,335715,1558203,610,8,5,41047,60,No,Rent,1
61,1141705,457770,646,7,4,32732,36,No,Rent,0
51,1282632,678672,757,29,3,13672,48,No,Own,0
44,1157080,714807,557,16,4,35528,48,No,Own,0
48,888255,73610,631,24,5,58808,24,No,Mortgage,0
54,506533,394364,582,19,2,18160,24,No,Rent,0
36,1249686,1044633,696,19,0,18686,60,No,Mortgage,0
30,927851,50000,494,14,5,18083,24,No,Own,0
26,856975,258825,700,6,0,4835,60,No,Rent,0
27,1018018,56286,795,14,5,27879,60,No,Rent,0
65,1212787,1067331,809,14,5,43358,36,No,Rent,0
50,424960,233083,620,9,2,17405,60,No,Rent,1
64,1140932,865980,612,21,5,14904,24,No,Own,0
54,1052327,777150,743,13,3,29225,48,No,Own,0
58,819473,419640,599,16,1,4751,60,No,Mortgage,0
62,888660,685449,499,0,0,10676,60,Yes,Mortgage,1
54,233096,676707,814,23,4,19756,60,No,Rent,1
61,818429,50000,483,17,4,38996,60,No,Own,0
55,576068,542330,760,20,0,16882,36,No,Rent,0
59,681413,395617,729,4,1,27111,48,No,Rent,0
29,925892,440142,564,5,4,39545,36,Yes,Mortgage,1
43,177950,680297,734,28,4,45775,12,No,Rent,1
29,542881,230203,760,15,4,30203,60,No,Own,0
41,570182,590222,677,26,0,11797,60,No,Rent,0
38,777900,334245,574,15,0,12955,36,No,Own,0
28,593492,319586,672,9,3,40263,48,No,Mortgage,0
50,1110023,1323141,672,24,1,37441,60,Yes,Own,0
27,1205232,154843,790,3,5,33126,36,No,Rent,0
35,870176,566458,674,18,1,29964,60,No,Rent,0
58,422760,270917,594,3,2,11299,60,Yes,Own,1
64,551055,1144283,719,0,4,40250,84,Yes,Rent,1
51,782129,326398,702,15,4,25894,60,No,Mortgage,0
27,973453,731731,649,8,0,9317,36,No,Own,0
44,846801,68865,606,28,1,3425,36,No,Rent,0
44,1498063,428793,685,7,4,36563,48,No,Mortgage,0
53,1337708,372364,644,3,1,14515,60,No,Rent,0
28,1471938,709960,591,8,1,14900,60,No,Mortgage,0
39,557606,66300,495,17,4,24399,36,No,Rent,1
22,584986,1085908,762,4,4,44042,24,No,Mortgage,0
56,691324,59958,665,17,2,29208,12,Yes,Rent,0
26,588206,57318,790,6,1,13729,60,No,Rent,0
65,1174789,648503,790,31,5,36230,48,No,Mortgage,0
58,814931,168002,641,26,5,28041,12,Yes,Rent,0
34,867686,841320,701,9,3,20383,24,No,Mortgage,0
43,591699,422002,630,20,1,25661,12,No,Own,1
36,325396,453519,767,13,1,26065,48,Yes,Rent,1
51,1328397,156862,696,28,4,25454,60,No,Rent,0
48,685118,343374,607,25,0,11476,24,No,Rent,0
23,684637,1158015,719,5,1,7589,36,No,Own,0
48,159128,644031,788,20,3,21418,60,No,Rent,1
21,905063,562253,760,5,0,28195,48,No,Mortgage,0
45,150000,321443,676,25,1,8938,60,No,Rent,0
37,861063,755222,613,8,3,29819,60,Yes,Rent,1
46,719149,1045821,733,27,5,28717,36,No,Rent,1
56,932994,161869,640,26,4,34644,12,Yes,Rent,0
56,436361,877229,674,25,3,23223,36,No,Rent,1
36,389917,832326,601,20,1,24993,36,No,Mortgage,1
23,545581,230714,796,5,5,32905,36,No,Own,0
59,788524,413649,718,17,3,26714,24,No,Own,0
56,631295,1100981,612,16,1,10145,12,Yes,Own,0
57,708714,291247,640,21,3,21428,84,No,Rent,0
63,925352,680910,756,6,0,2741,48,Yes,Rent,0
33,1708509,665364,705,16,5,29547,12,No,Mortgage,0
52,1044373,694474,815,28,2,28811,84,No,Own,0
38,271981,597637,616,17,5,30985,60,No,Rent,1
32,1311127,760523,798,14,4,13462,24,No,Rent,0
65,920460,873730,819,15,3,14463,60,Yes,Rent,0
21,697976,800429,816,5,0,30090,60,No,Rent,0
21,738111,520802,775,4,2,25528,36,No,Mortgage,0
29,152718,75415,644,13,3,28159,36,No,Rent,1
42,532949,465171,613,23,3,24581,24,No,Own,1
44,432094,256045,679,11,5,28738,48,No,Rent,0
57,428548,687242,604,10,0,13199,36,No,Rent,0
60,1176568,441901,634,7,4,30079,36,No,Rent,0
44,258021,359087,616,11,3,20782,12,Yes,Mortgage,1
55,1088613,80609,641,8,5,38912,48,Yes,Own,0
57,997767,614937,844,5,5,47585,60,No,Own,0
54,1291019,655783,690,29,0,18538,60,Yes,Rent,0
32,1420801,52416,744,13,4,35621,48,No,Rent,0
53,714942,682842,771,13,2,32035,60,No,Rent,0
43,1157246,713368,547,16,4,40708,48,No,Own,0
50,927966,381879,774,19,5,39807,36,No,Mortgage,0
35,175811,631649,560,3,0,16045,60,Yes,Rent,1
29,605204,400160,795,14,3,14921,60,No,Rent,0
30,718178,390987,634,16,1,21747,48,Yes,Rent,1
39,826343,499000,807,20,0,21868,60,No,Own,0
42,532143,337382,817,0,1,17829,36,No,Rent,0
33,150000,690291,756,7,5,16769,60,No,Rent,1
39,678927,512202,719,15,5,27597,12,No,Rent,0
33,929044,321137,629,15,2,21136,84,No,Mortgage,0
55,637263,360969,606,19,3,21807,84,No,Rent,0
61,752205,227015,593,15,1,25253,24,No,Rent,0
50,150000,706996,695,10,3,7927,60,No,Mortgage,1
53,498447,1122535,696,2,4,31911,48,No,Rent,1
24,653574,442779,654,4,2,19220,60,No,Rent,0
28,166399,50000,736,9,0,22821,48,No,Mortgage,0
53,1204960,604493,654,29,0,17307,60,Yes,Rent,0
38,965706,556128,662,0,2,14668,12,No,Mortgage,0
29,1142404,103460,590,12,1,12217,48,Yes,Mortgage,0
62,635189,669939,594,4,0,18881,36,No,Own,0
37,1168332,1077189,700,18,1,15274,60,No,Mortgage,0
28,579935,50000,813,3,1,17996,60,No,Rent,0
26,967168,1062130,617,9,5,41379,60,No,Own,0
45,755734,711867,489,19,5,34168,36,No,Rent,0
33,596812,629864,592,19,1,12906,36,Yes,Mortgage,0
30,466039,680580,576,6,4,32868,60,Yes,Mortgage,1
44,179233,50000,748,1,4,22820,24,No,Mortgage,0
61,462786,77005,648,24,1,12272,60,No,Rent,0
58,925099,694504,678,14,0,0,24,Yes,Own,1
57,495046,494524,573,9,5,45449,36,No,Rent,0
34,307133,839139,651,19,0,25173,36,No,Mortgage,1
63,561790,413227,717,25,2,12194,36,No,Mortgage,0
39,619744,1049283,618,4,4,21373,60,No,Own,0
44,350069,394403,512,18,1,11836,48,No,Mortgage,1
47,1062363,392277,497,14,2,31977,36,No,Rent,0
46,303244,223342,580,12,4,36059,48,No,Rent,1
22,285874,266305,732,3,2,3916,36,No,Mortgage,1
30,155083,557111,694,9,5,29146,24,No,Rent,1
30,813735,1247071,669,14,4,19351,48,No,Rent,0
41,997056,68307,656,14,5,29688,60,No,Rent,0
61,1082235,564034,700,21,0,31722,60,No,Own,1
21,505303,1075429,728,1,5,36386,24,No,Mortgage,1
35,628978,86816,722,19,3,37128,60,No,Own,0
62,779655,904497,630,5,5,38992,60,No,Own,1
26,666565,281245,704,6,0,15746,24,No,Rent,0
44,315014,806942,558,22,5,33450,24,No,Own,1
43,931216,115869,627,17,3,20003,24,No,Own,0
56,419746,661872,583,9,3,14019,36,No,Rent,0
64,1069619,662281,748,0,4,46161,12,No,Mortgage,0
60,373778,510253,761,20,1,1962,36,No,Rent,1
35,476972,849002,732,8,2,23639,48,No,Rent,0
44,1625466,880811,647,24,3,27709,36,No,Mortgage,0
21,901386,574827,746,6,2,27386,84,No,Own,0
44,229814,857428,610,24,0,18779,36,No,Rent,1
31,864230,462873,671,0,1,26840,60,No,Rent,0
22,830252,638297,757,0,1,23763,12,No,Mortgage,0
63,698936,367970,723,27,1,31067,60,No,Rent,0
49,1018996,420752,568,14,5,57533,36,No,Rent,1
35,701141,1175906,726,19,2,36226,24,No,Rent,0
27,706459,50000,648,12,4,49019,60,No,Mortgage,0
26,335488,779803,658,6,3,33032,60,No,Own,1
61,657892,995727,585,9,5,45988,60,No,Own,1
65,658369,659110,600,0,2,36869,48,No,Rent,0
21,603510,240265,773,0,3,49017,60,Yes,Rent,0
42,930632,50000,850,26,4,25383,84,No,Rent,0
34,724899,510552,725,17,2,17979,36,No,Mortgage,0
28,150000,411474,737,13,3,31134,24,No,Rent,1
23,221001,204989,721,1,2,6442,36,No,Mortgage,1
30,150000,247377,700,15,1,23142,48,No,Mortgage,1
53,161656,323184,809,22,1,18829,36,No,Own,0
56,878637,424228,625,30,2,20821,36,No,Mortgage,1
56,750657,426856,798,17,2,25361,36,Yes,Mortgage,0
51,622013,843742,598,17,5,34316,24,No,Mortgage,1
37,1237908,612649,727,20,3,16184,24,No,Rent,0
38,909125,560208,803,20,4,42796,84,No,Rent,0
54,681723,80472,736,10,1,17714,60,No,Own,0
53,868540,812976,705,26,0,10470,60,No,Rent,1
52,840381,411148,660,19,4,52970,60,No,Mortgage,0
25,623297,76671,794,3,0,11085,60,No,Rent,0
33,673407,713102,534,16,0,1418,48,Yes,Rent,1
47,573241,1030252,594,16,4,41151,60,No,Mortgage,0
45,216469,681454,850,21,5,37524,36,No,Rent,0
47,362041,879971,569,16,3,30713,24,No,Own,1
30,273567,616208,577,10,2,32930,36,No,Rent,1
56,900386,780446,751,9,0,23394,36,No,Mortgage,0
29,810604,1281595,661,5,3,17832,60,No,Rent,0
35,1332915,507148,713,0,4,27135,24,No,Mortgage,0
43,723572,505155,612,4,2,11638,24,No,Own,0
65,150000,507135,539,24,5,38453,48,No,Mortgage,1
54,581984,81545,792,8,2,25532,48,No,Rent,0
63,750099,55013,763,7,3,28997,36,No,Rent,0
24,589616,246073,631,6,3,18727,48,Yes,Mortgage,0
53,790408,72845,655,25,3,41284,36,No,Mortgage,0
60,861306,331087,770,18,4,39131,36,No,Mortgage,1
55,476804,175624,620,27,4,14832,48,Yes,Rent,0
63,942760,942104,751,21,0,16420,36,No,Own,0
43,531554,146030,624,10,5,34432,36,No,Mortgage,0
21,1090629,1148643,729,3,1,25362,36,No,Mortgage,0
35,709414,650767,843,11,0,15056,60,No,Rent,0
32,300349,809255,704,3,4,56283,60,No,Rent,1
42,196441,435467,842,20,3,13668,48,No,Mortgage,0
61,436386,1383207,738,7,3,25365,36,No,Rent,1
41,862275,653958,640,8,0,9701,60,No,Rent,0
44,947860,50000,627,17,1,16003,24,No,Own,0
41,1032380,691814,707,19,3,31445,36,No,Own,0
32,944262,103924,609,12,2,18006,36,No,Rent,0
63,532651,680596,639,8,5,40952,60,No,Mortgage,0
33,687513,221140,777,19,3,17916,48,No,Rent,0
37,722057,1192021,774,18,2,32280,24,No,Rent,0
57,754842,135924,669,17,3,32012,12,Yes,Rent,0
29,481410,726934,749,10,3,39220,12,No,Mortgage,0
28,1167310,127042,542,12,1,10009,48,Yes,Mortgage,0
59,1021648,925882,524,19,5,34245,84,No,Rent,1
61,979975,457171,751,18,1,18967,36,No,Mortgage,0
55,754653,1041848,669,20,0,27330,36,No,Own,0
49,491029,115229,777,17,1,34481,36,No,Rent,0
22,1058403,330672,618,6,1,26795,84,No,Own,0
52,203281,265673,660,11,4,39668,60,No,Own,1
30,619219,91545,705,11,4,35319,48,No,Mortgage,0
38,456859,96322,650,18,2,17372,24,No,Mortgage,0
64,240726,548600,767,28,2,28085,48,Yes,Rent,1
35,866275,627517,646,9,4,28680,84,No,Rent,1
37,835422,283015,538,18,5,28356,36,No,Mortgage,0
61,947415,562477,695,3,3,20707,36,No,Mortgage,0
64,511618,54170,688,1,3,37118,48,No,Own,0
31,453990,203627,647,13,3,9720,60,No,Rent,0
46,670774,268684,834,9,2,14265,12,No,Rent,0
38,507830,373846,791,7,0,28323,60,No,Own,0
23,1336733,354725,678,3,5,36580,60,No,Own,1
61,831638,50000,521,17,4,43327,60,No,Own,0
42,1645208,55445,850,5,4,19314,12,Yes,Rent,0
52,1041278,226859,545,22,3,14492,36,No,Mortgage,0
25,888795,780652,609,1,2,12665,36,No,Rent,0
39,990634,935920,623,19,2,26674,36,No,Mortgage,0
27,380955,819404,738,0,5,20757,84,No,Rent,1
48,480758,129044,563,30,3,23740,48,No,Mortgage,0
38,547831,264818,711,21,3,16553,60,No,Mortgage,0
31,814385,687142,707,13,5,38132,60,No,Own,0
24,559852,690193,620,8,3,31748,24,No,Mortgage,1
33,566997,329321,797,9,3,34658,60,No,Rent,0
38,765070,354302,600,3,4,23400,60,No,Mortgage,0
57,927391,1119796,567,0,3,5399,60,Yes,Rent,1
27,1599618,292234,740,8,0,10618,36,No,Rent,0
32,1207808,703838,668,10,4,35424,48,No,Rent,0
51,695869,388443,696,2,5,32791,60,No,Rent,1
57,949233,357343,651,25,1,24459,12,No,Mortgage,0
29,1022261,50000,781,14,4,20562,48,No,Own,0
37,458060,1173096,581,12,1,0,60,No,Mortgage,1
25,585099,281311,768,0,3,46691,60,Yes,Rent,1
31,264226,510583,717,9,5,30944,24,No,Rent,1
26,200139,1052896,561,5,1,20164,48,No,Rent,1
51,1247949,469758,636,1,2,21597,48,No,Rent,0
62,867090,968988,825,15,4,15844,60,Yes,Rent,0
43,631144,222418,717,0,5,23329,48,No,Mortgage,0
59,646541,276907,621,14,3,21597,36,No,Rent,0
27,645043,421084,819,6,2,31025,84,No,Mortgage,0
47,775764,175807,766,19,3,34823,36,No,Rent,0
58,1156153,749771,518,8,1,21803,36,No,Rent,0
35,150000,395915,761,20,4,40713,36,No,Rent,1
46,585412,691751,631,17,5,29351,36,No,Rent,0
25,600546,128850,811,10,0,13099,60,No,Rent,0
48,742780,507561,704,20,5,21372,12,No,Own,0
51,1011281,441625,656,14,2,25263,60,No,Mortgage,0
35,1075371,460225,682,11,4,41443,36,Yes,Rent,0
27,1160746,702729,492,10,0,20394,48,No,Own,0
56,1267924,930683,788,19,5,37302,60,No,Own,0
26,853498,296002,719,8,0,14638,60,No,Rent,0
42,692370,415896,705,17,1,9005,60,Yes,Rent,0
35,988393,655704,596,9,2,12716,24,Yes,Own,0
